EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-07-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 CC   : Cloud cover in oktas
30-34 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DYCE, UNITED KINGDOM (STAID: 1825)
Blended and updated with sources:16435 903091 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   CC, Q_CC
  1825, 16435,19601211,    7,    0
  1825, 16435,19601212,    4,    0
  1825, 16435,19601213,    6,    0
  1825, 16435,19601214,    2,    0
  1825, 16435,19601215,    4,    0
  1825, 16435,19601216,    7,    0
  1825, 16435,19601217,    6,    0
  1825, 16435,19601218,    5,    0
  1825, 16435,19601219,    3,    0
  1825, 16435,19601220,    3,    0
  1825, 16435,19601221,    3,    0
  1825, 16435,19601222,    5,    0
  1825, 16435,19601223,    7,    0
  1825, 16435,19601224,    7,    0
  1825, 16435,19601225,    5,    0
  1825, 16435,19601226,    6,    0
  1825, 16435,19601227,    7,    0
  1825, 16435,19601228,    7,    0
  1825, 16435,19601229,    4,    0
  1825, 16435,19601230,    4,    0
  1825, 16435,19601231,    4,    0
  1825, 16435,19610101,    6,    0
  1825, 16435,19610102,    7,    0
  1825, 16435,19610103,    6,    0
  1825, 16435,19610104,    3,    0
  1825, 16435,19610105,    7,    0
  1825, 16435,19610106,    5,    0
  1825, 16435,19610107,    4,    0
  1825, 16435,19610108,    7,    0
  1825, 16435,19610109,    6,    0
  1825, 16435,19610110,    4,    0
  1825, 16435,19610111,    7,    0
  1825, 16435,19610112,    6,    0
  1825, 16435,19610113,    2,    0
  1825, 16435,19610114,    3,    0
  1825, 16435,19610115,    0,    0
  1825, 16435,19610116,    5,    0
  1825, 16435,19610117,    7,    0
  1825, 16435,19610118,    7,    0
  1825, 16435,19610119,    8,    0
  1825, 16435,19610120,    8,    0
  1825, 16435,19610121,    4,    0
  1825, 16435,19610122,    5,    0
  1825, 16435,19610123,    8,    0
  1825, 16435,19610124,    8,    0
  1825, 16435,19610125,    8,    0
  1825, 16435,19610126,    8,    0
  1825, 16435,19610127,    6,    0
  1825, 16435,19610128,    6,    0
  1825, 16435,19610129,    4,    0
  1825, 16435,19610130,    3,    0
  1825, 16435,19610131,    4,    0
  1825, 16435,19610201,    2,    0
  1825, 16435,19610202,    2,    0
  1825, 16435,19610203,    3,    0
  1825, 16435,19610204,    7,    0
  1825, 16435,19610205,    8,    0
  1825, 16435,19610206,    7,    0
  1825, 16435,19610207,    3,    0
  1825, 16435,19610208,    5,    0
  1825, 16435,19610209,    5,    0
  1825, 16435,19610210,    6,    0
  1825, 16435,19610211,    4,    0
  1825, 16435,19610212,    6,    0
  1825, 16435,19610213,    7,    0
  1825, 16435,19610214,    8,    0
  1825, 16435,19610215,    6,    0
  1825, 16435,19610216,    4,    0
  1825, 16435,19610217,    6,    0
  1825, 16435,19610218,    5,    0
  1825, 16435,19610219,    6,    0
  1825, 16435,19610220,    2,    0
  1825, 16435,19610221,    4,    0
  1825, 16435,19610222,    8,    0
  1825, 16435,19610223,    8,    0
  1825, 16435,19610224,    8,    0
  1825, 16435,19610225,    7,    0
  1825, 16435,19610226,    4,    0
  1825, 16435,19610227,    2,    0
  1825, 16435,19610228,    4,    0
  1825, 16435,19610301,    6,    0
  1825, 16435,19610302,    5,    0
  1825, 16435,19610303,    7,    0
  1825, 16435,19610304,    7,    0
  1825, 16435,19610305,    3,    0
  1825, 16435,19610306,    6,    0
  1825, 16435,19610307,    4,    0
  1825, 16435,19610308,    6,    0
  1825, 16435,19610309,    1,    0
  1825, 16435,19610310,    6,    0
  1825, 16435,19610311,    7,    0
  1825, 16435,19610312,    6,    0
