EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-07-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 PP   : Sea level pressure in 0.1 hPa
30-34 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DYCE, UNITED KINGDOM (STAID: 1825)
Blended and updated with sources:16432 903091 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   PP, Q_PP
  1825, 16432,19610802,10160,    0
  1825, 16432,19610803,10137,    0
  1825, 16432,19610804,10017,    0
  1825, 16432,19610805,10026,    0
  1825, 16432,19610806,10014,    0
  1825, 16432,19610807,10097,    0
  1825, 16432,19610808,10048,    0
  1825, 16432,19610809,10046,    0
  1825, 16432,19610810,10151,    0
  1825, 16432,19610811,10210,    0
  1825, 16432,19610812,10202,    0
  1825, 16432,19610813,10138,    0
  1825, 16432,19610814,10115,    0
  1825, 16432,19610815,10159,    0
  1825, 16432,19610816,10130,    0
  1825, 16432,19610817,10151,    0
  1825, 16432,19610818,10019,    0
  1825, 16432,19610819,10083,    0
  1825, 16432,19610820,10089,    0
  1825, 16432,19610821, 9965,    0
  1825, 16432,19610822,10069,    0
  1825, 16432,19610823,10131,    0
  1825, 16432,19610824,10141,    0
  1825, 16432,19610825,10079,    0
  1825, 16432,19610826,10043,    0
  1825, 16432,19610827,10103,    0
  1825, 16432,19610828,10164,    0
  1825, 16432,19610829,10126,    0
  1825, 16432,19610830,10189,    0
  1825, 16432,19610831,10254,    0
  1825, 16432,19610901,10218,    0
  1825, 16432,19610902,10184,    0
  1825, 16432,19610903,10185,    0
  1825, 16432,19610904,10154,    0
  1825, 16432,19610905,10037,    0
  1825, 16432,19610906, 9986,    0
  1825, 16432,19610907,10083,    0
  1825, 16432,19610908,10190,    0
  1825, 16432,19610909,10193,    0
  1825, 16432,19610910,10124,    0
  1825, 16432,19610911,10058,    0
  1825, 16432,19610912,10059,    0
  1825, 16432,19610913, 9946,    0
  1825, 16432,19610914, 9998,    0
  1825, 16432,19610915, 9970,    0
  1825, 16432,19610916, 9934,    0
  1825, 16432,19610917,10061,    0
  1825, 16432,19610918,10189,    0
  1825, 16432,19610919,10139,    0
  1825, 16432,19610920,10156,    0
  1825, 16432,19610921,10169,    0
  1825, 16432,19610922,10213,    0
  1825, 16432,19610923,10199,    0
  1825, 16432,19610924,10196,    0
  1825, 16432,19610925,10193,    0
  1825, 16432,19610926,10102,    0
  1825, 16432,19610927,10025,    0
  1825, 16432,19610928, 9967,    0
  1825, 16432,19610929,10020,    0
  1825, 16432,19610930,10013,    0
  1825, 16432,19611001,10101,    0
  1825, 16432,19611002,10174,    0
  1825, 16432,19611003,10157,    0
  1825, 16432,19611004,10149,    0
  1825, 16432,19611005,10084,    0
  1825, 16432,19611006,10008,    0
  1825, 16432,19611007, 9967,    0
  1825, 16432,19611008, 9921,    0
  1825, 16432,19611009,10021,    0
  1825, 16432,19611010,10049,    0
  1825, 16432,19611011,10073,    0
  1825, 16432,19611012,10256,    0
  1825, 16432,19611013,10301,    0
  1825, 16432,19611014,10262,    0
  1825, 16432,19611015,10175,    0
  1825, 16432,19611016,10089,    0
  1825, 16432,19611017, 9942,    0
  1825, 16432,19611018,10048,    0
  1825, 16432,19611019,10065,    0
  1825, 16432,19611020, 9962,    0
  1825, 16432,19611021, 9993,    0
  1825, 16432,19611022, 9972,    0
  1825, 16432,19611023, 9868,    0
  1825, 16432,19611024, 9878,    0
  1825, 16432,19611025, 9840,    0
  1825, 16432,19611026, 9891,    0
  1825, 16432,19611027, 9879,    0
  1825, 16432,19611028, 9937,    0
  1825, 16432,19611029,10058,    0
  1825, 16432,19611030,10022,    0
  1825, 16432,19611031,10054,    0
